Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,MCap,P/B,DY,D/E,PEG
2022-04-11,JSWSTEEL.NS,735.51465,767.40002,775.00000,756.00000,7926472,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-12,JSWSTEEL.NS,724.49243,755.90002,773.75000,738.15002,8595936,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-13,JSWSTEEL.NS,734.50824,766.34998,781.09998,760.00000,6722613,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-18,JSWSTEEL.NS,735.94592,767.84998,775.84998,758.40002,5866740,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-19,JSWSTEEL.NS,715.38715,746.40002,790.00000,736.09998,7301285,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-20,JSWSTEEL.NS,708.15088,738.84998,758.00000,732.50000,4679947,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-21,JSWSTEEL.NS,703.69409,734.20001,747.25000,725.50000,3995936,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-22,JSWSTEEL.NS,693.34283,723.40002,737.00000,722.04999,2244262,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-25,JSWSTEEL.NS,685.96277,715.70001,719.50000,695.25000,4935672,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-26,JSWSTEEL.NS,691.23419,721.20001,724.29999,713.04999,3260695,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-27,JSWSTEEL.NS,690.65912,720.59998,734.20001,711.00000,3391522,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-28,JSWSTEEL.NS,698.80597,729.09998,734.25000,722.65002,4079934,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-04-29,JSWSTEEL.NS,696.93707,727.15002,740.00000,723.29999,3622889,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-02,JSWSTEEL.NS,701.53754,731.95001,734.20001,709.04999,2802163,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-04,JSWSTEEL.NS,681.98511,711.54999,736.00000,708.04999,3011231,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-05,JSWSTEEL.NS,678.34308,707.75000,726.40002,705.09998,3131221,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-06,JSWSTEEL.NS,661.71399,690.40002,700.90002,680.65002,3930624,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-09,JSWSTEEL.NS,650.16455,678.34998,686.09998,668.09998,3380947,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-10,JSWSTEEL.NS,618.48779,645.29999,677.00000,643.09998,4293241,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-11,JSWSTEEL.NS,621.98621,648.95001,658.00000,635.34998,4158341,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-12,JSWSTEEL.NS,598.83954,624.79999,651.54999,620.00000,4123927,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-13,JSWSTEEL.NS,575.50134,600.45001,637.00000,594.15002,5567335,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-16,JSWSTEEL.NS,577.27454,602.29999,626.70001,599.04999,4641172,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-17,JSWSTEEL.NS,615.18121,641.84998,645.79999,609.15002,6309092,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-18,JSWSTEEL.NS,604.82990,631.04999,644.90002,628.00000,4941565,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-19,JSWSTEEL.NS,575.26178,600.20001,624.95001,592.04999,5816509,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-20,JSWSTEEL.NS,604.87787,631.09998,634.29999,616.70001,6187868,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-23,JSWSTEEL.NS,524.79938,547.54999,594.00000,537.50000,17554373,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-24,JSWSTEEL.NS,517.27557,539.70001,556.40002,537.25000,7517949,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-25,JSWSTEEL.NS,506.49298,528.45001,545.00000,521.00000,4725882,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-26,JSWSTEEL.NS,528.77692,551.70001,555.70001,520.04999,8178844,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-27,JSWSTEEL.NS,525.61407,548.40002,561.29999,539.40002,5193961,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-30,JSWSTEEL.NS,516.46082,538.84998,544.75000,525.59998,12211769,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-05-31,JSWSTEEL.NS,528.34564,551.25000,558.29999,532.20001,20152169,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-01,JSWSTEEL.NS,545.83734,569.50000,572.34998,549.20001,8495547,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-02,JSWSTEEL.NS,549.57532,573.40002,575.00000,557.65002,7010273,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-03,JSWSTEEL.NS,539.08020,562.45001,581.95001,559.54999,6367536,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-06,JSWSTEEL.NS,554.94263,579.00000,583.25000,553.00000,10383944,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-07,JSWSTEEL.NS,548.32928,572.09998,579.45001,567.09998,3735461,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-08,JSWSTEEL.NS,552.21106,576.15002,583.00000,572.20001,4138705,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-09,JSWSTEEL.NS,548.42517,572.20001,575.70001,564.00000,3922515,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-10,JSWSTEEL.NS,548.71271,572.50000,574.00000,561.34998,3374125,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-13,JSWSTEEL.NS,540.56586,564.00000,567.95001,555.00000,4071346,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-14,JSWSTEEL.NS,538.55310,561.90002,576.79999,560.15002,3413396,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-15,JSWSTEEL.NS,539.60736,563.00000,569.00000,557.04999,3803101,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-16,JSWSTEEL.NS,523.16992,545.84998,571.50000,544.45001,4899759,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-17,JSWSTEEL.NS,531.55640,554.59998,561.70001,539.70001,6776372,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-06-20,JSWSTEEL.NS,527.48297,550.34998,554.59998,536.09998,5614520,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
